Name,Release Date,Rating,Genre(s),Platform(s),Theme(s),Keyword(s),Developer(s),Player Perspective,Game Mode(s)
Kaiju Inc.,2026-06-30,,"Simulator, Strategy, Indie",PC (Microsoft Windows),,"roguelike, kaiju",,Bird view / Isometric,Single player
Taking Today Off,2026-06-30,,"Strategy, Indie, Card & Board Game",PC (Microsoft Windows),,"roguelike, deck-building, deckbuilder",Orange Ink Studio,,Single player
Func Key,2026-06-30,,Strategy,PC (Microsoft Windows),,"roguelike, word game",One Bit Bean,,Single player
Shield of Breaker,2026-06-30,,"Role-playing (RPG), Indie, Arcade",PC (Microsoft Windows),Action,"bullet hell, roguelite, action roguelike, action-rpg",,Bird view / Isometric,Single player
Karate Rogue,2026-06-30,,"Role-playing (RPG), Indie",PC (Microsoft Windows),,"martial arts, roguelike, karate",Terry-do Games,Bird view / Isometric,Single player
Cheat Death,2026-06-30,,"Simulator, Indie, Card & Board Game",PC (Microsoft Windows),Horror,"dice, roguelite",GG Studio,First person,Single player
Blast Head,2026-06-30,,"Role-playing (RPG), Indie",PC (Microsoft Windows),Action,"steam achievements, controller support, increasing difficulty, roguelite, bullet heaven, nextfest october 2025","Basement Rift, Vixa Games",Bird view / Isometric,Single player
Grim Trials,2026-06-30,,"Role-playing (RPG), Hack and slash/Beat 'em up",PC (Microsoft Windows),Action,"dungeon crawler, roguelite, action roguelite","Neon Doctrine, Soft Source, Glory Jam",Bird view / Isometric,Single player
The Devil's Due,2026-06-30,,"Strategy, Indie, Card & Board Game",PC (Microsoft Windows),,"hell, poker, demons, devil, steam achievements, steam cloud, controller support, roguelite, card battler",Games People Play,First person,Single player
Abyss Ring,2026-06-30,,"Role-playing (RPG), Indie",PC (Microsoft Windows),Action,"roguelike, action roguelike, ai-generated translations, ai-generated interface",,First person,Single player
Eldritch Escape,2026-06-30,,"Role-playing (RPG), Strategy, Adventure, Indie, Arcade",PC (Microsoft Windows),"Action, Fantasy, Science fiction, Horror, Survival","roguelike, metroidvania, roguelite, free demo, bullet heaven, horde survival",,Bird view / Isometric,Single player
Just A Shadow Game,2026-06-30,,"Strategy, Indie, Card & Board Game",PC (Microsoft Windows),"Action, Horror","psychological horror, roguelite, deckbuilder","TripleBricksGames, Vietnam Indie Devs",Bird view / Isometric,"Single player, Multiplayer"
Ogora,2026-06-30,,"Strategy, Turn-based strategy (TBS), Tactical, Indie, Card & Board Game",PC (Microsoft Windows),Fantasy,"casual, magic, 2d, roguelike, procedural generation, nature, pve, dungeon crawling, pixel art, pixel graphics, relaxing, dungeon crawler, turn-based combat, choices matter, single-player only, roguelite, deck-building, pixelart, card battler",Oolcay Hitsay,"Third person, Side view",Single player
Emblems: Sunless Vow,2026-06-30,,"Role-playing (RPG), Indie, Visual Novel","PC (Microsoft Windows), Mac","Fantasy, Mystery, Romance","turn-based, supernatural, funny, roguelite, lgbtq+, queer, lgbtq",oldflowerGames,,Single player
Rogue Mansion,2026-06-30,,"Adventure, Indie","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Action, Horror, Survival",roguelike,"Almenara Games, Top Hat Studios","First person, Third person",Single player
Airport Contraband,2026-06-30,,"Simulator, Indie",PC (Microsoft Windows),Action,"roguelike, airport management, job simulator",Drago Entertainment,First person,Single player
Wind Runners,2026-06-30,,"Adventure, Indie","PC (Microsoft Windows), Mac",Action,"roguelike, steam achievements, steam cloud",Ludic Studios,Side view,Single player
SlotCrawler,2026-06-26,,"Role-playing (RPG), Strategy, Indie, Arcade",PC (Microsoft Windows),Fantasy,"slot machine, dungeon crawling, roguelite, deck-building",Red Squirrel Games,First person,Single player
Dark Scrolls,2026-06-22,,"Platform, Adventure, Indie","PC (Microsoft Windows), Nintendo Switch",Action,"roguelike, oldschool","Devolver Digital, doinksoft",,
Into The Depths,2026-06-10,,"Simulator, Strategy, Turn-based strategy (TBS), Indie, Card & Board Game",PC (Microsoft Windows),Fantasy,"roguelike, underworld, hexagon, city builder, roguelite, hexagon tiles, deck-building, roguelike deckbuilder, hex grid, ludum dare 57, nextfest october 2025",SmelJey,Bird view / Isometric,Single player
River City Saga: Journey to the West,2026-06-04,,Hack and slash/Beat 'em up,"PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Action, Comedy","roguelike, journey to the west",Arc System Works,,
Rogue 'n' Roll: Dice of Fate,2026-06-02,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Indie",PC (Microsoft Windows),"Action, Fantasy",roguelike,JokkelGames,Side view,Single player
Postponed,2026-06-01,,"Strategy, Indie, Arcade","PC (Microsoft Windows), Mac",Business,"roguelite, office, monster, game dev simulator, game dev",,Side view,Single player
Orbital,2026-06-01,,"Music, Strategy, Tactical, Indie, Arcade",PC (Microsoft Windows),"Survival, Warfare","destruction, space, pve, nanotechnology, leaderboard, united federation of planets, roguelite, technology, mars, jupiter, endless, competition",Classy Games,Bird view / Isometric,Single player
Just One More Link,2026-05-29,,"Strategy, Arcade",PC (Microsoft Windows),,"roguelite, incremental",Blagine,,Single player
Soulblaze,2026-05-28,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical, Indie","Linux, PC (Microsoft Windows), Mac",Fantasy,"roguelike, roguelite, creature collector",Sword & Quill,Side view,Single player
868-Back,2026-05-28,,"Role-playing (RPG), Strategy, Indie","Linux, Android, PC (Microsoft Windows), iOS, Mac",,"roguelike, hacking, dungeon crawler",Michael Brough,,Single player
Castella,2026-05-25,,Strategy,PC (Microsoft Windows),"Action, Fantasy","tower defense, procedural generation, castle, roguelite",Slime Potion Games,Bird view / Isometric,Single player
Dice Have No Eyes,2026-05-20,,"Strategy, Indie",PC (Microsoft Windows),,"roguelike, surreal, dice","Franek, Max Cahill",,Single player
Deep Rock Galactic: Rogue Core,2026-05-20,,Shooter,PC (Microsoft Windows),Action,roguelike,Ghost Ship Games,First person,"Single player, Multiplayer, Co-operative"
Add Flyers To Dreams,2026-05-18,,"Indie, Arcade",PC (Microsoft Windows),"Action, Business","roguelike, flappy bird clone",,Side view,Single player
Endless Snake,2026-05-15,,"Adventure, Indie, Arcade",PC (Microsoft Windows),Action,"casual, 2d, snake, score attack, family friendly, time attack, roguelite, boss rush, snake clone, replay value, endless",Pinch Games,Bird view / Isometric,Single player
Skigill,2026-05-15,,Indie,"Linux, PC (Microsoft Windows), Mac","Action, Survival","roguelike, pixel art, pixel graphics, steam achievements, steam cloud, controller support, action roguelike, nextfest october 2025",Achromi,Bird view / Isometric,Single player
Down with the Ship,2026-05-15,,"Strategy, Indie","PC (Microsoft Windows), Mac",Science fiction,"space strategy, roguelike, space battle, inventory management, roguelite, autobattler","Iron Anchor Games, Proxy Studios",,"Single player, Multiplayer"
Neophyte,2026-05-15,,"Indie, Arcade",PC (Microsoft Windows),Action,"roguelike, roguelite",,Bird view / Isometric,Single player
Bug Alliance,2026-05-14,,"Shooter, Role-playing (RPG), Indie","Android, PC (Microsoft Windows), iOS",Action,"alliance, roguelite, indie developer, bug, pixelart",Ent-Re Games,Bird view / Isometric,"Single player, Co-operative"
Rogue Command,2026-05-14,,"Real Time Strategy (RTS), Strategy",PC (Microsoft Windows),"Action, Science fiction, Warfare","roguelike, permadeath, low-poly, steam achievements, steam cloud, deck-building, steam families",feneq,Bird view / Isometric,Single player
Black Jacket,2026-05-12,,"Simulator, Strategy, Turn-based strategy (TBS), Adventure, Indie, Card & Board Game","Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Horror, Survival","blackjack, roguelite, deckbuilder","Skystone Games, Mi'pu'mi Games",First person,Single player
Kill -9,2026-05-11,,"Strategy, Indie",PC (Microsoft Windows),Science fiction,"roguelike, deck building",,"Side view, Text",Single player
Battlestar Galactica: Scattered Hopes,2026-05-11,,"Real Time Strategy (RTS), Strategy, Tactical, Indie",PC (Microsoft Windows),"Action, Science fiction","space simulation, story rich, roguelite","Alt Shift, DotEmu",Bird view / Isometric,Single player
Stu the Fisherman,2026-05-11,,"Role-playing (RPG), Adventure, Indie","Linux, PC (Microsoft Windows)",,"fishing, controller support, roguelite, nextfest june 2025",,,Single player
Everything Is Crab,2026-05-08,,"Role-playing (RPG), Simulator, Strategy, Indie",PC (Microsoft Windows),Action,"roguelike, roguelite, action roguelike, action roguelite","Odd Dreams Digital, Secret Mode",Bird view / Isometric,Single player
Hellbreak,2026-05-08,,"Shooter, Indie",PC (Microsoft Windows),"Action, Fantasy, Horror, Warfare","roguelike, fast paced, arena shooter, survival shooter",Double Barrel Games,First person,Single player
Timber Fever,2026-05-07,,"Indie, Arcade",PC (Microsoft Windows),"Action, Comedy","animals, roguelike, bullet hell, deer, animal protagonist, bird, cute, season winter, pixel art, snow, pixel graphics, elephant, relaxing, day/night cycle, snowman, timer, animal protagonists, balloon, countdown timer, character select screen, seasons, fruits, adjustable difficulty, food, hot dog, action roguelike, winter, fish, money, incremental, time, upgrades",VIRTUAL DUCKY GAMES,Side view,Single player
Infinity Sweeper,2026-05-07,,"Strategy, Indie","PC (Microsoft Windows), Mac",,"roguelite, power-ups","Longshot Studios LLC, Yogscast Games",Bird view / Isometric,Single player
Adventurer's Gambit: Dungeons of Fortune,2026-05-07,,Adventure,PC (Microsoft Windows),Action,"online co-op, dungeon crawler, roguelite",,Third person,"Single player, Multiplayer, Co-operative"
Vehicle No. 4,2026-05-05,,"Strategy, Tactical, Indie",PC (Microsoft Windows),Action,"vehicular combat, steampunk, steam cloud, upgradeable vehicles, roguelite, action roguelike, horde survival",Indiejoh,Bird view / Isometric,Single player
Islantiles,2026-05-04,,"Strategy, Indie",PC (Microsoft Windows),,"turn-based, roguelike, city builder, roguelite, cozy, deck-building, roguelike deckbuilder, deckbuilder",Thunderrock Innovations,,Single player
Sticker/Ball,2026-05-04,,"Simulator, Strategy, Indie, Arcade, Card & Board Game","Web browser, PC (Microsoft Windows)",Comedy,"roguelike, deckbuilder","Bilge Kaan, Future Friends Games",,Single player
ASCII Survivors,2026-05-01,,Indie,"Linux, PC (Microsoft Windows)",Action,roguelite,IndigoVortex,,Single player
Protocol: Zero-Day,2026-05-01,,"Role-playing (RPG), Hack and slash/Beat 'em up, Indie",PC (Microsoft Windows),"Action, Science fiction, Survival","cyberpunk, fast paced, roguelite, neon, horde survival",CRYPTOS Interactive,Bird view / Isometric,Single player
Gambonanza,2026-05-01,,"Simulator, Strategy, Indie","Linux, PC (Microsoft Windows), Mac",,"retro, chess, roguelike","Blukulélé Studio, Stray Fawn Publishing",Bird view / Isometric,Single player
Rogue Voltage,2026-05-01,,"Role-playing (RPG), Simulator, Strategy, Turn-based strategy (TBS), Tactical, Indie","Linux, PC (Microsoft Windows)",,"roguelike, demo, automation, roguelite, free demo, deck-building, roguelike deckbuilder, engineering","Horizont Computergrafik, IndieArk",Side view,Single player
Die in the Dungeon,2026-05-01,,"Role-playing (RPG), Strategy, Indie, Card & Board Game","Linux, PC (Microsoft Windows), Mac","Action, Fantasy","roguelike, frog, cute, pixel art, dice, turn-based combat, deck-building, turn-based rpg","ATICO, HypeTrain Digital",Side view,Single player
Saros,2026-04-30,80.0,Shooter,PlayStation 5,"Action, Science fiction, Horror","memory loss, bullet hell, energy force shield, roguelite, action roguelite","Housemarque, Sony Interactive Entertainment",Third person,Single player
Dungeon Clawler,2026-04-30,,"Role-playing (RPG), Simulator, Strategy, Turn-based strategy (TBS), Indie, Arcade","Xbox Series X|S, Linux, Android, PC (Microsoft Windows), iOS, PlayStation 5, Mac, Nintendo Switch","Action, Fantasy, Survival","roguelike, steam achievements, steam cloud, roguelite, roguelike deckbuilder, deckbuilder, steam families",Stray Fawn Studio,"Bird view / Isometric, Side view",Single player
Porta-Tower,2026-04-30,,"Strategy, Indie",PC (Microsoft Windows),Action,"tower defense, roguelite",Novadisc Games,Bird view / Isometric,Single player
Survivor Mercs,2026-04-30,,"Shooter, Indie, Arcade","Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Action, Science fiction, Survival, Warfare","shoot 'em up, roguelike, mercenaries, battlefield, squad based, procedural generation, run and gun, difficult, bullet hell, leveling, building, pixel art, random level generation, upgradable equipment, heroes, boss fight, timer, upgradeable weapons, twin stick control, multiple enemy boss fights, heal over time, random character selection, damage over time, controller support, roguelite, looter shooter, steam deck, extraction, synergies, robot, robot combat","Wolpertinger Games, Wandering Wizard, Snail Games",Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Demon Lord: Just a Block,2026-04-29,,Indie,PC (Microsoft Windows),Action,"roguelike, turn-based rpg, maze crawler, action roguelike, nextfest october 2025",YuWave,Third person,Single player
Samukid,2026-04-29,,"Strategy, Indie",PC (Microsoft Windows),Action,"samurai, pixel graphics, roguelite",,Bird view / Isometric,Single player
The Spell Brigade,2026-04-29,,Indie,"PC (Microsoft Windows), PlayStation 5","Action, Fantasy","wizards, magic, roguelike, dark fantasy, bullet hell, online co-op, online multiplayer, 4 player co-op, roguelite, bullet heaven, action roguelike, spells, action roguelite",Bolt Blaster Games,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Saros: Digital Deluxe Edition,2026-04-28,,Shooter,PlayStation 5,"Action, Science fiction, Horror","memory loss, bullet hell, energy force shield, roguelite, action roguelite","Housemarque, Sony Interactive Entertainment",Third person,Single player
Cropdeck,2026-04-28,,"Strategy, Turn-based strategy (TBS), Indie, Card & Board Game","Linux, PC (Microsoft Windows), Mac",,"roguelike, farming, roguelite, wholesome, cozy, roguelike deckbuilder, deckbuilder",Mad Head Bump,Bird view / Isometric,Single player
Deified,2026-04-27,,"Strategy, Tactical",PC (Microsoft Windows),Fantasy,"turn-based tactics, steam achievements, roguelite, nextfest february 2026",Unexpected,Bird view / Isometric,Single player
Wild City,2026-04-27,,Strategy,"PC (Microsoft Windows), Mac",,"animals, management, roguelite, roguelike deckbuilder, hex grid, deckbuilder","Catoptric Games, Monka Studios",,Single player
Castle Idler,2026-04-24,,Strategy,"PC (Microsoft Windows), Mac",,"tower defense, pixel art, pixel graphics, idle game, roguelite, incremental game, idler, minimalist, idle, incremental",Soy Boy Games,Bird view / Isometric,Single player
Spinera,2026-04-24,,"Strategy, Indie",PC (Microsoft Windows),,"roguelike, slot machine, civilizations, roguelike deckbuilder, deckbuilder",Arvis Games,Side view,Single player
Boomerang Jack,2026-04-24,,"Fighting, Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie",PC (Microsoft Windows),Action,"pirates, 2d, roguelike, fast paced, bullet hell, action-adventure, pixel graphics, melee combat, story rich, arena combat, swinging platforms, roguelite, narrative adventure, action combat, spectacle fighter, bossfight, bullet heaven, stylish action, boss rush, character action, linear, action roguelike, boomerang, epic adventure",Recall Interactive,Bird view / Isometric,Single player
